CategoryID,EventID
15,2
7,13
7,50
3,32
1,33
6,23
2,30
2,26
2,9
17,23
14,19
18,28
1,13
12,16
18,12
7,30
9,35
12,33
2,30
7,36
14,50
11,40
15,38
6,35
2,29
6,35
3,22
3,50
5,18
12,27
7,7
12,22
13,15
9,14
6,43
20,17
4,49
19,38
2,38
5,3
5,16
9,37
20,35
9,5
20,38
3,7
6,26
1,21
9,34
7,39
11,36
17,18
1,6
20,9
2,7
11,28
4,34
12,27
1,46
15,39
17,38
2,12
7,4
2,13
12,44
7,33
19,35
9,19
3,31
13,34
2,5
7,15
17,15
6,33
19,36
7,16
16,38
11,5
9,41
10,11
10,32
4,23
11,13
19,7
12,8
15,43
6,34
11,46
6,29
2,21
13,13
9,26
7,3
6,49
12,1
8,19
20,39
19,11
15,27
12,8
8,21
6,44
14,34
14,43
18,25
10,27
10,48
3,42
9,16
16,38
5,6
16,28
17,8
6,48
18,35
19,20
14,27
20,26
10,2
14,26
18,10
11,15
7,33
1,20
19,34
9,36
14,29
13,36
18,22
5,29
20,38
20,40
6,12
15,8
17,9
9,40
11,23
5,15
18,49
19,35
20,48
3,41
19,22
15,32
16,1
1,48
5,23
12,41
10,49
9,4
3,11
18,32
6,33
6,23
2,44
19,13
15,43
15,31
16,22
12,15
11,2
18,44
15,43
11,27
17,49
9,30
14,17
16,26
7,46
8,37
9,34
8,23
10,9
18,21
14,18
2,25
17,27
13,26
1,13
8,32
13,16
17,16
8,45
20,13
9,5
13,3
3,18
14,14
15,21
10,50
3,15
3,43
18,12
8,12
15,7
11,22
10,5
7,14
14,24
3,37
