UserID,EventID,SponsorshipAmount
1,56,18310
1,55,30774
2,147,39277
3,96,15188
3,35,40489
3,131,21364
3,178,44091
3,22,8523
4,174,13116
4,20,21945
9,163,6285
11,129,30195
11,215,22266
11,91,16789
11,15,1470
11,39,2242
12,178,37492
12,12,21162
13,219,34281
13,134,15876
13,110,7405
14,127,45537
14,145,35152
15,46,37306
15,152,45280
15,81,31291
15,196,46603
15,65,21771
17,157,33543
17,162,41127
17,4,24704
17,147,45605
17,40,26068
18,139,33684
18,10,47617
18,217,39987
18,8,26503
19,71,32642
19,70,13424
20,32,32191
20,103,41868
20,163,36323
20,60,1960
20,109,30843
21,18,33458
21,144,30444
21,24,29761
22,31,9327
23,216,45065
23,83,9647
23,201,30071
24,167,8336
24,196,21717
24,40,40508
24,178,39127
25,118,22937
25,87,43829
25,108,35756
25,45,44537
26,76,44614
27,178,40850
27,51,25734
28,88,18824
28,68,33286
28,207,14309
29,136,42763
29,204,49094
29,97,49640
30,214,46625
30,129,47665
30,20,5648
31,60,48963
31,7,28350
31,63,24502
31,101,17022
32,90,38502
33,154,40591
33,185,21855
33,69,21638
33,206,20954
33,101,22913
35,158,46575
35,123,7079
35,80,12596
35,135,46913
36,4,30917
36,128,35619
36,61,33570
36,38,41878
36,115,3875
37,176,23258
37,148,21987
37,42,23879
37,108,17465
37,41,48896
38,118,13159
38,209,34719
39,136,43107
39,169,40575
40,41,7635
40,198,21177
40,74,9078
41,140,22371
42,141,8006
42,40,11336
42,112,38416
42,5,5209
43,130,6676
43,205,44449
44,158,1973
44,21,41236
46,134,29523
47,41,26470
47,202,9438
47,109,18745
48,25,46539
48,180,4234
48,187,23416
48,162,45130
49,131,2816
49,146,34375
49,102,43902
49,184,23470
49,85,22822
50,38,17576
50,147,35697
50,117,27542
50,56,41665
50,197,13498
51,159,28113
51,126,48127
51,128,22191
52,40,32631
53,167,19239
53,55,37669
53,163,34970
53,146,33628
53,10,20462
54,135,25908
54,131,18430
54,69,45507
54,149,46719
54,90,8826
55,64,1706
55,6,9598
55,176,9903
56,158,13243
56,69,12234
56,191,33010
56,168,16405
57,108,34867
57,150,10297
57,37,38832
57,80,14422
58,158,10048
59,34,26692
59,176,3442
59,92,3229
61,53,47177
62,210,10184
62,76,46307
62,185,49564
63,39,20389
63,211,4323
64,162,24246
64,114,3051
64,133,1072
64,147,34779
64,86,10811
65,215,41396
65,60,16311
65,135,16964
65,73,30976
66,52,3802
66,111,14439
66,213,16106
67,207,12574
67,181,15506
68,186,42371
68,138,35410
68,14,31443
69,48,24649
69,62,28921
69,28,6937
69,194,35454
70,169,49199
70,211,2895
70,68,34036
70,150,7008
70,210,3796
71,141,48391
71,67,5219
71,37,23102
71,150,29539
73,179,49946
73,118,9137
73,200,41097
73,151,23672
74,179,23506
74,63,34899
74,5,20116
74,42,7474
75,103,26743
75,137,24711
75,84,32160
75,178,13416
76,105,40388
76,79,39170
76,100,49287
77,136,30348
77,182,5926
77,160,13280
77,8,31894
79,23,47423
