EventName,EventDate,TicketPrice,VenueID,OrganizationID
Webinar: PM in a Startup Setting by Alexa Product Lead,2024-10-12,106.18,7,5
Live SouJava- Microservice Patterns - Implemented by Eclipse Microprofile,2024-10-19,192.61,3,10
enterprise:CODE 2020,2024-10-26,159.8,17,10
Certified CISO,2024-11-02,139.8,1,7
Certified Ethical Hacker (CEH),2024-11-09,73.4,16,14
A4Q AI & SOFTWARE TESTING,2024-11-16,73.4,12,10
Agile & Coffee (Blagnac),2024-11-23,58.71,19,5
"Women in Data Science (WiDS) PSU Riyadh,March 2,2020",2024-11-30,179.93,14,3
Android Makers Virtual Edition 2020,2024-12-07,140.17,6,7
ANDROID MAKERS 2020 VIRTUAL EDITION,2024-12-14,156.21,6,13
Letâs take a mindful moment (weekly 25min mindfulness Mondays 8:30 ZOOM),2024-12-21,53.09,13,11
Agile-Lean Ireland 2020,2024-12-28,195.49,19,11
"KubeFlow, TFX, GPU/TPU, Spark, TensorFlow, Kubernetes, Kafka, Scikit",2024-01-04,174.87,8,2
Formation 1 jour - Vous donner des billes en facilitation - Animer un groupe,2024-01-11,81.85,2,12
Fullstack Coding Bootcamp Across the Border from Hong Kong,2024-01-18,77.27,1,9
ONLINE! Enterprise Agility Masterclass (ICP-ENT) - Georg Fasching & Sam Kiani,2024-01-25,77.51,15,10
Digital PyCon Sprint,2024-02-01,95.64,1,10
Reboot Your Skills,2024-02-08,128.71,5,12
DataArt Online Week,2024-02-15,114.79,16,1
Online: Introduction to Machine Learning,2024-02-22,93.68,19,13
PYTHON PROGRAMMING DATA ANALYTICS Day 1/5 ($1800 Pay at Door),2024-03-01,141.78,4,6
ONLINE Blockchain030 | Co-working Mondays,2024-03-08,70.92,3,7
Firebase Study Jam 2020,2024-03-15,93.82,17,14
JavaScript Immersive Bootcamp,2024-03-22,104.95,17,13
ONLINE: Southwest CMG â Performance & Cost Optimization,2024-03-29,118.41,12,8
Online Python for Data Science Immersive,2024-04-05,167.78,14,10
Online Python Immersive â¢ Start a Career with Python (1 Week Course),2024-04-12,79.95,6,9
AWSome Week 2020,2024-04-19,127.14,3,2
"Online Workshop: Kubernetes, Docker, Containers for Beginners",2024-04-26,138.86,9,11
Lean Agile Mindset in Times of Crisis 5of5,2024-05-03,56.97,5,10
Advice on Startup Funding and Accelerators,2024-05-10,141.13,17,2
IWD - International Women's Day - WTM,2024-05-17,75.58,14,5
"Meet the Legal Techs of the Future-Law Digitale Initiative ""Corona""",2024-05-24,59.76,3,13
ASK ME ANYTHING: A LIFE OF A UX DESIGNER,2024-05-31,192.33,1,5
Accelerate the Pace of Enterprise Data Estate Modernization,2024-06-07,194.84,1,6
Fighting It Together | Virtual Hackathon Kickoff,2024-06-14,171.26,3,3
Learn How Azure NetApp Files Can Accelerate Your Companyâs Move to the Cloud,2024-06-21,95.69,18,8
Product Management Live Chat by Product School CEO,2024-06-28,64.65,10,13
Generative Adversarial Networks - Online Only,2024-07-05,152.63,3,1
2 more Certified Large Scale Scrum Basics (CLB) in April,2024-07-12,116.02,8,6
Why the world needs DeFi with Alex Batlin & CryptoMondays London,2024-07-19,68.31,14,4
ONLINE: GDG Greater LA Community Lunch,2024-07-26,124.28,18,1
The West Michigan Agile Community Meet Up,2024-08-02,55.16,15,7
Workflowy | Show and Tell met Martijn Aslander,2024-08-09,186.4,2,9
"[1 hr Free] PipelineAI, GPU, TPU, Spark, TensorFlow, Kubernetes, Kafka, Scikit",2024-08-16,88.82,10,13
