TicketID,EventID,AttendeeID,PurchaseDate,Price
1,662,7597,2024-02-28,136
2,401,5434,2024-09-02,71
3,209,3484,2024-04-12,190
4,201,5237,2024-09-14,170
5,898,1543,2024-05-04,75
6,455,5874,2024-05-31,39
7,450,4159,2024-03-29,24
8,362,8145,2024-03-19,35
9,859,1053,2024-08-24,70
10,625,2425,2024-08-21,144
11,255,546,2024-02-05,24
12,185,3216,2024-08-17,66
13,308,2430,2024-05-12,52
14,86,7267,2024-01-30,189
15,571,3710,2024-08-26,52
16,357,5694,2024-01-15,82
17,444,1905,2024-05-21,32
18,14,7394,2024-03-27,107
19,496,268,2024-04-17,135
20,18,4573,2024-01-30,31
21,702,3744,2024-02-26,149
22,413,5835,2024-08-16,147
23,320,9246,2024-06-30,49
24,522,2873,2024-07-24,21
25,111,7381,2024-03-08,149
26,440,7770,2024-05-05,162
27,624,5721,2024-08-17,147
28,897,2900,2024-08-26,145
29,213,7276,2024-06-04,42
30,672,695,2024-02-20,81
31,814,7231,2024-08-16,97
32,674,8324,2024-02-12,118
33,594,6857,2024-02-20,170
34,755,7322,2024-07-29,36
35,370,6813,2024-08-30,167
36,434,1416,2024-02-26,15
37,309,816,2024-03-29,142
38,67,1224,2024-01-13,188
39,683,6015,2024-03-14,186
40,450,2924,2024-08-23,57
41,176,7268,2024-04-18,142
42,454,105,2024-06-20,104
43,75,1946,2024-07-17,75
44,671,1578,2024-05-06,33
45,661,9862,2024-03-15,96
46,177,1212,2024-04-12,112
47,466,2647,2024-04-21,148
48,239,3397,2024-03-29,72
49,243,3511,2024-01-25,38
50,245,9116,2024-04-01,119
51,397,5261,2024-07-01,114
52,462,9445,2024-07-16,131
53,266,9881,2024-02-06,70
54,684,4604,2024-01-08,126
55,560,7789,2024-07-20,21
56,972,1787,2024-03-13,27
57,338,3327,2024-03-20,149
58,891,7067,2024-01-23,78
59,801,8056,2024-02-21,160
60,949,3919,2024-01-10,191
61,479,8066,2024-07-13,73
62,952,947,2024-05-01,15
63,942,6478,2024-08-11,32
64,255,5757,2024-07-04,85
65,667,1778,2024-01-08,61
66,14,1829,2024-01-19,82
67,16,3305,2024-07-01,33
68,351,6259,2024-01-27,50
69,994,1780,2024-02-12,148
70,949,3464,2024-03-21,137
71,681,1617,2024-01-23,195
72,308,5052,2024-05-18,67
73,492,1578,2024-01-18,52
74,921,2310,2024-03-13,188
75,633,3736,2024-01-01,39
76,675,2680,2024-01-16,70
77,440,2413,2024-02-28,155
78,955,10,2024-08-27,94
79,898,3516,2024-07-18,125
80,965,2777,2024-04-09,74
81,730,5029,2024-07-24,48
82,847,9810,2024-05-14,164
83,432,782,2024-03-15,74
84,446,8447,2024-03-08,137
85,704,3753,2024-01-23,195
86,8,1180,2024-07-21,39
87,877,7686,2024-03-17,155
88,821,6723,2024-09-18,27
89,158,9059,2024-04-15,179
90,341,6608,2024-05-08,132
91,870,9787,2024-09-16,140
92,305,1024,2024-02-27,85
93,453,7590,2024-02-22,74
94,66,4805,2024-02-10,113
95,752,4463,2024-04-21,191
96,220,2919,2024-05-26,149
97,634,5223,2024-07-25,158
98,820,8257,2024-04-16,133
99,108,5948,2024-03-10,95
100,110,3924,2024-05-10,94
101,341,5649,2024-02-01,192
102,11,5002,2024-09-15,189
103,961,1686,2024-04-02,122
104,305,3280,2024-01-31,61
105,86,8282,2024-06-19,10
106,96,5362,2024-04-11,38
107,127,828,2024-05-26,120
108,709,9699,2024-08-03,134
109,994,2364,2024-05-10,158
110,371,8479,2024-05-17,102
111,760,9292,2024-01-11,40
112,290,8958,2024-02-24,55
113,354,6719,2024-05-27,179
114,122,8958,2024-08-14,75
115,589,1847,2024-04-03,16
116,587,7576,2024-02-07,171
117,593,3591,2024-04-04,71
118,621,4659,2024-02-09,152
119,555,9934,2024-06-04,198
120,816,568,2024-02-02,154
121,525,7613,2024-05-23,41
122,689,3477,2024-05-25,159
123,691,400,2024-01-09,144
124,749,9364,2024-08-12,192
125,987,8965,2024-07-08,99
126,16,2566,2024-05-21,132
127,359,9212,2024-06-26,138
128,544,3307,2024-03-21,186
129,960,7978,2024-02-03,160
130,34,5215,2024-08-18,55
131,429,5466,2024-07-26,95
132,401,9202,2024-09-04,122
133,352,8674,2024-09-06,15
134,497,9282,2024-09-15,184
135,580,6691,2024-08-28,32
136,327,2908,2024-09-02,187
137,381,7551,2024-02-26,21
138,396,9405,2024-08-03,129
139,721,2820,2024-05-22,160
140,712,6638,2024-09-16,143
141,811,9495,2024-04-25,147
142,975,1811,2024-01-01,31
143,657,7526,2024-01-09,154
144,974,7961,2024-02-02,74
145,904,1224,2024-03-19,116
146,579,9474,2024-08-07,66
147,470,6298,2024-01-20,117
148,646,9797,2024-06-04,50
149,205,3961,2024-03-09,130
150,544,8397,2024-04-08,99
151,897,1526,2024-01-09,191
152,792,4903,2024-05-28,78
153,668,1467,2024-08-25,14
154,624,5868,2024-03-17,103
155,654,6998,2024-04-17,109
156,995,4136,2024-04-21,159
157,876,6914,2024-06-05,50
158,407,6414,2024-07-06,102
159,58,7591,2024-07-22,24
160,297,835,2024-08-15,191
161,994,400,2024-05-16,61
162,603,9903,2024-03-16,56
163,668,8446,2024-07-18,73
164,335,4243,2024-05-08,110
165,661,209,2024-05-13,58
166,681,2771,2024-07-05,178
167,381,4310,2024-04-19,75
168,846,4112,2024-08-31,198
169,432,408,2024-02-24,181
170,889,3907,2024-04-07,187
171,815,3006,2024-01-06,17
172,795,2759,2024-08-06,34
173,352,2151,2024-05-28,22
174,114,2876,2024-01-05,89
175,765,6600,2024-02-21,30
176,639,1977,2024-01-09,56
177,16,5341,2024-07-06,169
178,318,7601,2024-05-28,167
179,509,4013,2024-02-09,72
180,759,3644,2024-01-30,186
181,571,2414,2024-03-11,144
182,627,3657,2024-06-09,79
183,162,7712,2024-03-29,77
184,382,1646,2024-07-13,27
185,655,3260,2024-01-20,94
186,825,9833,2024-01-15,109
187,47,819,2024-01-19,61
188,771,397,2024-06-03,161
189,14,5806,2024-07-11,173
190,929,7025,2024-07-03,88
191,581,6357,2024-01-31,139
192,901,9238,2024-06-04,43
193,103,3460,2024-06-02,158
194,576,9454,2024-05-12,39
195,877,4166,2024-06-21,18
196,295,6440,2024-04-13,35
197,44,3354,2024-05-05,97
198,694,1416,2024-06-20,139
199,917,9900,2024-06-12,140
200,654,7886,2024-02-29,157
201,692,2277,2024-01-16,46
202,40,5964,2024-09-05,185
203,348,5490,2024-01-01,104
204,940,8106,2024-03-14,139
205,814,6080,2024-06-07,74
206,776,3932,2024-02-20,130
207,266,1091,2024-05-23,150
208,787,9209,2024-02-07,34
209,583,5709,2024-08-22,150
210,758,5706,2024-03-14,98
211,963,1939,2024-08-27,167
212,278,1578,2024-04-12,173
213,209,6863,2024-08-30,95
214,130,4490,2024-01-06,109
215,932,3249,2024-02-01,24
216,560,8397,2024-02-21,159
217,100,8525,2024-04-08,172
218,329,4540,2024-03-19,165
219,587,8288,2024-08-20,83
220,553,8476,2024-05-16,52
221,495,6123,2024-02-16,95
222,309,4140,2024-03-11,56
223,247,9225,2024-04-12,21
224,444,7504,2024-08-14,157
225,828,5669,2024-07-09,139
226,781,287,2024-04-27,139
227,855,3982,2024-04-15,63
228,48,29,2024-05-27,58
229,134,1110,2024-08-01,58
230,84,9242,2024-06-19,12
231,117,8715,2024-02-18,150
232,380,5602,2024-08-30,185
233,620,5279,2024-05-01,136
234,888,9817,2024-05-21,69
235,182,7396,2024-02-24,75
236,698,6693,2024-05-21,97
