UserID,EventID,TicketType,PurchaseDate
46,1,Premium,2024-04-24
182,1,Standard,2024-04-09
82,1,Standard,2024-11-13
28,2,VIP,2024-05-16
110,3,Standard,2024-09-06
102,3,Premium,2024-01-09
76,3,Standard,2024-05-09
191,3,Premium,2024-12-02
38,3,VIP,2024-01-30
168,3,Premium,2024-06-03
179,3,Standard,2024-04-08
27,4,Premium,2024-01-24
129,4,VIP,2024-05-26
63,4,Standard,2024-12-30
3,4,VIP,2024-08-09
181,5,VIP,2024-10-06
196,5,VIP,2024-10-11
70,5,Standard,2024-01-17
30,6,Premium,2024-08-25
10,6,VIP,2024-12-26
52,6,VIP,2024-09-07
152,6,Standard,2024-10-04
130,6,Premium,2024-10-10
102,6,Standard,2024-08-27
16,6,VIP,2024-10-02
102,7,Standard,2024-08-26
68,7,Premium,2024-07-25
39,7,VIP,2024-03-16
109,8,VIP,2024-10-08
66,8,Standard,2024-10-27
65,8,Standard,2024-09-13
138,9,VIP,2024-04-09
121,9,Premium,2024-12-10
128,9,Standard,2024-01-09
21,9,Standard,2024-01-01
129,9,Standard,2024-04-19
101,10,Standard,2024-02-27
156,10,VIP,2024-10-21
9,10,Standard,2024-10-08
165,10,Premium,2024-05-03
51,11,Premium,2024-01-14
193,11,Standard,2024-05-10
175,11,Standard,2024-11-25
179,12,VIP,2024-04-21
137,12,Premium,2024-01-05
169,12,Standard,2024-09-12
190,12,Standard,2024-08-28
77,12,VIP,2024-10-02
139,12,Standard,2024-08-25
42,12,Standard,2024-06-20
130,12,Standard,2024-01-16
83,13,Premium,2024-07-31
56,13,VIP,2024-06-18
5,13,VIP,2024-02-13
24,13,Standard,2024-11-26
105,13,Premium,2024-06-17
170,13,Premium,2024-12-18
51,13,Premium,2024-09-28
88,13,Premium,2024-06-23
181,13,Premium,2024-02-06
138,13,Premium,2024-12-04
101,14,Standard,2024-10-21
3,14,VIP,2024-01-21
86,14,Standard,2024-01-28
106,14,Premium,2024-12-18
152,14,Premium,2024-01-03
180,15,Standard,2024-10-11
39,15,Standard,2024-06-01
161,15,Standard,2024-04-11
114,15,Standard,2024-05-15
23,15,Standard,2024-04-13
75,15,Standard,2024-11-07
90,15,VIP,2024-08-29
152,15,VIP,2024-08-12
120,16,VIP,2024-02-08
98,16,Premium,2024-08-20
19,16,Standard,2024-09-03
6,16,Standard,2024-01-27
37,16,Premium,2024-02-06
200,16,Standard,2024-10-07
70,16,Standard,2024-02-22
110,16,Standard,2024-10-03
2,17,VIP,2024-10-29
118,18,Standard,2024-07-27
32,18,Premium,2024-06-29
86,18,Premium,2024-09-25
40,18,Premium,2024-02-06
173,18,Standard,2024-11-03
139,18,Premium,2024-04-14
157,18,VIP,2024-08-13
164,18,Premium,2024-09-03
193,18,Standard,2024-11-25
163,18,VIP,2024-08-28
167,19,Standard,2024-08-13
146,19,VIP,2024-06-26
157,19,Standard,2024-03-14
119,20,VIP,2024-07-24
63,20,Standard,2024-10-25
6,20,Standard,2024-09-29
163,20,Standard,2024-05-30
117,20,Premium,2024-10-21
60,20,VIP,2024-12-27
165,20,Premium,2024-03-12
156,20,VIP,2024-08-18
31,20,Premium,2024-07-09
148,20,Standard,2024-02-29
80,21,VIP,2024-08-23
31,21,Premium,2024-10-16
142,21,Premium,2024-01-16
116,21,Standard,2024-01-03
17,21,Premium,2024-03-04
37,21,Standard,2024-03-21
52,21,Premium,2024-08-09
57,21,VIP,2024-06-04
51,21,VIP,2024-07-10
170,21,Premium,2024-03-11
117,22,VIP,2024-01-02
180,22,Standard,2024-07-29
124,22,Standard,2024-07-01
113,22,Standard,2024-12-27
118,22,Standard,2024-04-02
158,22,Premium,2024-11-07
122,22,VIP,2024-05-15
190,22,Premium,2024-04-25
195,22,Premium,2024-04-27
89,23,Premium,2024-01-12
144,23,VIP,2024-01-04
107,23,Standard,2024-11-05
120,23,Standard,2024-11-12
56,23,Premium,2024-02-13
190,23,Standard,2024-01-28
162,23,Standard,2024-07-19
119,23,Premium,2024-10-26
168,23,Premium,2024-05-15
196,23,Premium,2024-05-15
125,24,VIP,2024-05-22
21,24,VIP,2024-08-17
185,24,VIP,2024-11-10
19,24,Premium,2024-12-06
71,24,VIP,2024-07-20
140,24,VIP,2024-09-05
112,25,VIP,2024-08-16
43,25,Premium,2024-01-27
42,25,Standard,2024-09-14
10,26,Premium,2024-10-15
102,26,VIP,2024-07-25
15,26,Premium,2024-02-20
127,26,VIP,2024-03-27
133,26,VIP,2024-11-18
34,26,Standard,2024-12-16
13,26,Premium,2024-01-29
48,26,Premium,2024-09-03
131,27,Premium,2024-03-20
15,28,Premium,2024-08-24
79,28,VIP,2024-10-14
164,28,Premium,2024-06-14
113,29,VIP,2024-02-05
101,29,Premium,2024-05-17
28,29,Premium,2024-09-06
109,29,Standard,2024-03-12
90,29,VIP,2024-09-29
180,29,VIP,2024-10-11
20,29,Premium,2024-12-30
102,30,Standard,2024-05-31
115,30,VIP,2024-05-01
165,30,Premium,2024-01-14
187,30,VIP,2024-10-18
78,30,Standard,2024-06-23
26,30,VIP,2024-12-01
70,30,Premium,2024-03-30
146,30,Standard,2024-12-05
155,30,VIP,2024-10-22
38,31,VIP,2024-10-21
172,32,VIP,2024-11-07
50,32,Premium,2024-07-01
55,32,VIP,2024-07-02
175,32,VIP,2024-10-09
66,32,VIP,2024-07-05
48,32,VIP,2024-06-01
169,32,Premium,2024-03-20
27,32,VIP,2024-12-13
163,32,Standard,2024-05-13
139,32,Premium,2024-04-05
89,33,Premium,2024-07-22
138,33,Standard,2024-07-28
18,33,Standard,2024-02-23
48,33,Standard,2024-06-06
9,33,VIP,2024-11-23
151,33,Premium,2024-02-22
191,33,Standard,2024-09-29
13,33,VIP,2024-04-13
176,33,VIP,2024-12-05
57,33,VIP,2024-11-02
48,34,Premium,2024-10-21
144,34,Standard,2024-07-11
133,34,Standard,2024-12-10
200,35,VIP,2024-08-04
117,35,Standard,2024-09-02
116,35,VIP,2024-05-13
29,35,Standard,2024-09-01
69,35,Standard,2024-01-02
89,35,VIP,2024-06-16
196,35,VIP,2024-06-13
103,36,Standard,2024-06-09
90,36,Premium,2024-07-25
165,36,VIP,2024-09-08
180,36,Standard,2024-11-09
43,36,VIP,2024-04-19
135,36,Premium,2024-02-02
106,36,VIP,2024-10-05
139,36,VIP,2024-04-17
20,36,Premium,2024-07-11
86,36,Standard,2024-09-13
151,37,Premium,2024-09-18
78,37,VIP,2024-01-14
33,37,Standard,2024-09-20
165,37,Premium,2024-07-14
20,37,Premium,2024-05-07
168,37,Standard,2024-07-04
58,38,Standard,2024-11-03
103,38,VIP,2024-12-11
13,38,Premium,2024-08-01
125,38,Premium,2024-04-15
175,38,Standard,2024-12-03
166,38,Premium,2024-04-24
111,38,Premium,2024-04-09
182,38,Standard,2024-09-08
60,38,VIP,2024-09-13
50,39,Premium,2024-02-28
158,39,Premium,2024-12-09
192,39,VIP,2024-10-13
39,39,Standard,2024-08-19
103,39,Premium,2024-02-20
105,39,VIP,2024-09-03
87,39,Standard,2024-10-28
3,39,Premium,2024-02-15
14,39,VIP,2024-08-18
