UserID,EventID,TicketType,PurchaseDate
172,41,Standard,2024-07-11
115,50,Premium,2024-08-31
36,1,Premium,2024-02-14
74,25,Premium,2024-08-17
38,23,VIP,2024-05-18
46,45,Premium,2024-01-18
30,19,Standard,2024-05-13
167,47,Standard,2024-07-30
168,38,Premium,2024-05-16
139,50,VIP,2024-02-09
108,39,Standard,2024-07-13
16,49,Standard,2024-02-25
105,41,VIP,2024-05-25
8,28,VIP,2024-05-10
169,29,VIP,2024-02-06
6,15,Standard,2024-02-17
175,9,Standard,2024-03-13
155,18,VIP,2024-10-02
86,9,Standard,2024-06-28
32,5,Standard,2024-09-10
71,25,VIP,2024-07-10
56,4,Premium,2024-05-09
126,38,VIP,2024-01-19
188,17,VIP,2024-05-16
18,9,Premium,2024-04-30
25,19,Standard,2024-04-18
82,16,Standard,2024-02-03
109,27,VIP,2024-02-26
128,3,VIP,2024-09-07
118,16,VIP,2024-07-11
36,17,VIP,2024-08-15
48,29,Premium,2024-04-24
198,48,VIP,2024-03-22
73,23,Standard,2024-10-08
47,35,Premium,2024-09-13
146,45,VIP,2024-07-23
166,23,Premium,2024-03-14
110,14,Premium,2024-02-21
31,18,Standard,2024-04-15
25,38,Premium,2024-05-29
41,19,Premium,2024-08-25
19,6,Standard,2024-01-18
78,1,Standard,2024-09-27
115,24,Premium,2024-02-05
41,23,Premium,2024-07-27
77,43,Premium,2024-09-21
30,9,Standard,2024-09-25
45,31,Standard,2024-03-15
151,1,Standard,2024-03-11
129,34,Premium,2024-03-06
157,46,Premium,2024-10-04
67,6,VIP,2024-03-02
198,17,VIP,2024-02-22
8,8,VIP,2024-03-05
140,40,VIP,2024-07-05
151,48,VIP,2024-02-02
16,11,Standard,2024-06-09
61,49,Premium,2024-02-23
79,19,Premium,2024-05-29
9,3,VIP,2024-09-18
31,2,Premium,2024-04-07
16,25,Premium,2024-09-06
164,44,Standard,2024-03-03
102,9,Premium,2024-04-04
195,12,Premium,2024-01-27
181,29,VIP,2024-02-08
192,5,Premium,2024-05-31
127,34,Premium,2024-09-11
20,37,Standard,2024-06-22
99,18,Premium,2024-02-14
45,14,Standard,2024-03-06
57,6,Standard,2024-01-04
65,27,Premium,2024-08-08
162,28,Premium,2024-09-29
131,5,Premium,2024-08-19
141,4,VIP,2024-03-06
91,25,Standard,2024-09-08
189,28,Standard,2024-04-26
16,22,Premium,2024-02-05
174,22,VIP,2024-01-24
65,48,VIP,2024-05-31
56,34,Standard,2024-07-22
105,27,Standard,2024-08-12
125,8,Standard,2024-08-24
55,19,Standard,2024-04-03
100,9,Premium,2024-05-01
150,25,VIP,2024-09-11
193,19,Premium,2024-09-12
52,42,VIP,2024-09-06
25,7,Standard,2024-01-27
99,13,Standard,2024-08-02
169,39,Premium,2024-03-02
149,28,VIP,2024-03-28
101,29,Standard,2024-10-07
67,40,Premium,2024-09-21
108,17,Premium,2024-09-23
39,46,Standard,2024-04-19
152,45,Premium,2024-01-21
52,18,Standard,2024-06-19
161,30,VIP,2024-05-23
165,48,Premium,2024-06-21
85,7,VIP,2024-02-09
15,40,VIP,2024-04-13
182,44,VIP,2024-07-01
40,18,Premium,2024-01-11
107,26,Standard,2024-05-19
198,42,Premium,2024-07-07
103,46,Premium,2024-02-06
182,2,VIP,2024-02-21
76,46,Premium,2024-08-16
126,26,Premium,2024-01-08
51,34,VIP,2024-01-01
61,14,Standard,2024-07-21
32,9,Standard,2024-04-30
147,43,VIP,2024-09-20
139,28,Standard,2024-03-07
49,47,Premium,2024-09-16
91,17,Premium,2024-07-08
139,7,VIP,2024-07-24
97,22,Standard,2024-02-10
106,20,Standard,2024-10-03
133,6,Premium,2024-05-22
97,29,VIP,2024-07-01
158,46,VIP,2024-05-18
145,16,Premium,2024-07-07
84,4,Premium,2024-01-25
181,20,VIP,2024-07-04
78,45,Standard,2024-01-26
175,39,Premium,2024-01-24
178,39,Premium,2024-05-28
16,34,VIP,2024-01-09
29,20,VIP,2024-01-08
22,31,Premium,2024-03-15
114,10,VIP,2024-04-25
168,48,Premium,2024-05-14
68,48,VIP,2024-09-05
27,31,Premium,2024-07-27
59,41,Standard,2024-02-26
21,44,Premium,2024-07-08
63,1,Standard,2024-09-02
192,24,Premium,2024-04-10
62,25,Premium,2024-01-18
72,29,Standard,2024-02-21
78,19,Standard,2024-06-03
13,15,VIP,2024-04-27
88,32,VIP,2024-05-01
139,41,Premium,2024-07-02
195,42,Standard,2024-05-06
191,35,Premium,2024-09-10
196,32,Standard,2024-04-24
39,37,Standard,2024-05-24
36,46,VIP,2024-04-11
6,43,Standard,2024-02-13
180,7,Premium,2024-03-08
8,39,VIP,2024-04-26
162,40,Premium,2024-06-17
93,50,Premium,2024-10-01
144,14,Premium,2024-09-02
140,39,Standard,2024-04-01
60,1,VIP,2024-01-31
109,48,VIP,2024-02-21
39,41,Premium,2024-09-03
120,31,Premium,2024-04-20
163,29,Standard,2024-02-08
150,1,Premium,2024-06-01
103,27,Standard,2024-01-27
42,11,VIP,2024-04-05
15,23,Standard,2024-08-06
115,1,Premium,2024-07-13
2,11,VIP,2024-08-23
97,3,VIP,2024-02-09
33,17,VIP,2024-08-10
82,45,Premium,2024-09-12
131,2,VIP,2024-05-11
65,24,VIP,2024-08-25
176,2,Standard,2024-01-22
25,21,VIP,2024-04-19
8,46,Standard,2024-05-23
7,35,Standard,2024-05-10
101,10,Premium,2024-06-05
178,14,Premium,2024-03-08
44,5,VIP,2024-02-23
55,16,Premium,2024-01-07
132,44,Standard,2024-05-22
135,19,VIP,2024-02-02
187,31,Standard,2024-04-23
103,48,Standard,2024-09-28
129,49,Premium,2024-05-27
23,46,VIP,2024-06-30
128,28,Premium,2024-01-24
52,14,Standard,2024-08-22
11,26,VIP,2024-10-01
162,11,Premium,2024-06-29
182,36,Premium,2024-09-16
70,27,VIP,2024-08-22
197,19,Premium,2024-06-07
101,27,Standard,2024-05-20
94,5,VIP,2024-06-09
141,24,Premium,2024-07-04
34,23,VIP,2024-02-19
136,15,Standard,2024-03-20
40,22,Standard,2024-10-06
173,8,VIP,2024-07-03
112,47,VIP,2024-09-23
31,32,VIP,2024-02-11
200,4,Standard,2024-08-06
34,40,VIP,2024-07-02
8,44,Premium,2024-01-28
63,7,Premium,2024-10-03
36,10,Premium,2024-01-16
125,2,Premium,2024-05-11
109,25,Standard,2024-02-24
112,19,Premium,2024-09-12
41,9,Premium,2024-09-17
143,5,Standard,2024-01-09
24,44,Premium,2024-05-17
154,8,VIP,2024-01-27
18,27,Premium,2024-03-23
130,21,Premium,2024-08-22
105,11,VIP,2024-03-09
180,26,Standard,2024-01-05
16,15,VIP,2024-05-08
113,44,Premium,2024-06-05
37,31,Standard,2024-01-15
76,20,Standard,2024-04-29
72,44,Standard,2024-06-17
70,18,Standard,2024-06-08
174,8,Standard,2024-04-17
31,11,VIP,2024-01-07
19,27,VIP,2024-02-14
70,44,Standard,2024-01-09
86,45,Standard,2024-06-28
197,49,Standard,2024-09-10
79,14,Standard,2024-03-14
121,45,Standard,2024-04-11
143,46,Premium,2024-08-07
143,36,Standard,2024-05-26
137,12,Premium,2024-08-30
75,26,VIP,2024-04-04
68,32,Premium,2024-03-13
111,39,Standard,2024-10-05
94,33,Standard,2024-03-20
46,1,VIP,2024-08-16
31,45,Premium,2024-04-22
44,42,Standard,2024-08-17
89,29,Standard,2024-02-01
55,20,Standard,2024-06-13
37,44,Standard,2024-03-27
111,41,Standard,2024-02-13
103,3,Standard,2024-06-07
112,49,Standard,2024-10-03
18,38,VIP,2024-05-29
142,11,Premium,2024-06-22
164,14,Premium,2024-09-01
132,3,Premium,2024-01-30
59,14,VIP,2024-05-12
44,21,Standard,2024-06-03
82,22,VIP,2024-04-15
190,9,VIP,2024-04-27
131,14,VIP,2024-04-19
189,1,Standard,2024-09-03
101,12,VIP,2024-04-26
36,46,Premium,2024-08-09
72,32,Premium,2024-02-11
113,2,Premium,2024-03-16
50,31,Standard,2024-02-20
177,8,VIP,2024-04-27
65,45,Standard,2024-09-26
158,36,Standard,2024-06-07
11,1,Standard,2024-05-06
6,41,VIP,2024-08-21
110,2,VIP,2024-01-27
116,26,Premium,2024-09-21
98,44,VIP,2024-07-20
40,17,Standard,2024-03-01
65,4,VIP,2024-04-12
59,29,VIP,2024-08-18
33,22,Standard,2024-06-24
34,21,VIP,2024-03-20
192,29,Premium,2024-06-09
21,12,Standard,2024-07-05
15,33,Premium,2024-01-20
117,40,Standard,2024-05-01
129,24,Premium,2024-06-08
9,3,VIP,2024-04-04
80,4,Standard,2024-07-19
189,34,Standard,2024-07-22
62,44,Premium,2024-05-14
159,9,Standard,2024-06-30
98,1,VIP,2024-01-21
129,49,VIP,2024-09-27
115,10,Standard,2024-02-16
115,18,Premium,2024-08-15
151,27,Standard,2024-05-15
20,14,Premium,2024-04-11
89,16,Standard,2024-08-05
14,41,VIP,2024-06-15
93,17,Premium,2024-09-11
155,45,Premium,2024-02-06
197,7,Standard,2024-08-07
