VenueName,Location,Capacity
PLC Convention Center,Torreshaven,4198
Ltd Convention Center,South Victoria,3314
and Sons Convention Center,Jenniferhaven,3561
Group Convention Center,Lake Brianhaven,2087
and Sons Convention Center,South Jonathanborough,3486
Ltd Convention Center,New Ryanmouth,3829
Ltd Convention Center,Barrerastad,4948
Ltd Convention Center,Carlaburgh,3823
Group Convention Center,North Dave,4016
PLC Convention Center,Westside,3700
LLC Convention Center,East Pamela,3935
PLC Convention Center,Mayfort,1623
PLC Convention Center,South Amy,3650
Group Convention Center,Robertsfurt,4492
and Sons Convention Center,Davisfurt,3018
LLC Convention Center,Jamiehaven,1494
Ltd Convention Center,Millerhaven,3275
and Sons Convention Center,Jasonfort,2602
Inc Convention Center,Andreamouth,4950
PLC Convention Center,South Justinland,2331
